OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity
33527,NonResidential,University,3,CENTRAL,47.59677,-122.30172,2013,2.0,1,57468,0,57468,College/University,College/University,67750.0,,0.0,,0.0,,3543985.5,0.0,2133182.0,1410803.0,,89.8,1.56
33548,NonResidential,University,3,EAST,47.61808,-122.32175,2006,1.0,5,84000,0,84000,College/University,College/University,84300.0,,0.0,,0.0,,12184124.0,0.0,4446528.0,7737596.0,,441.94,5.26
34348,NonResidential,Retail Store,7,DOWNTOWN,47.6087,-122.33884,1991,1.0,3,103000,0,103000,Retail Store,Retail Store,103000.0,,0.0,,0.0,89.0,5214621.5,0.0,4243144.0,971477.0,,81.18,0.79
34891,NonResidential,Supermarket / Grocery Store,1,SOUTHWEST,47.56137,-122.38524,2008,1.0,1,37864,0,37864,Supermarket/Grocery Store,Supermarket/Grocery Store,37864.0,,0.0,,0.0,61.0,8025696.0,0.0,5407602.0,2618093.0,,176.75,4.67
34908,NonResidential,Supermarket / Grocery Store,3,EAST,47.62256,-122.32092,1950,1.0,2,66497,0,66497,Supermarket/Grocery Store,Supermarket/Grocery Store,66497.0,,0.0,,0.0,84.0,9290214.0,0.0,9133009.0,157203.0,,72.02,1.08
35391,NonResidential,Retail Store,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,2006,1.0,4,34010,0,34010,Retail Store,Retail Store,38428.0,,0.0,,0.0,,3560614.25,0.0,3560614.0,0.0,,24.82,0.73
35392,NonResidential,Supermarket / Grocery Store,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,2006,1.0,4,45980,0,45980,Supermarket/Grocery Store,Supermarket/Grocery Store,45980.0,,0.0,,0.0,79.0,8305255.0,0.0,5369235.0,2936020.0,,193.36,4.21
36034,NonResidential,Retail Store,3,EAST,47.61378771,-122.3214255,1996,1.0,3,45743,0,45743,Retail Store,Retail Store,45243.0,,0.0,,0.0,88.0,5313217.0,0.0,4307444.0,1005772.0,,83.45,1.82
36587,NonResidential,Other,3,CENTRAL,47.61674,-122.30207,1991,1.0,1,45000,0,45000,"Fitness Center/Health Club/Gym, Swimming Pool",Fitness Center/Health Club/Gym,45000.0,Swimming Pool,0.0,,0.0,,3505497.0,0.0,1051644.0,2453853.0,,137.66,3.06
37008,NonResidential,Other,2,GREATER DUWAMISH,47.59544,-122.33159,1999,1.0,6,333698,0,333698,"Other - Entertainment/Public Assembly, Parking",Parking,432903.0,Other - Entertainment/Public Assembly,333698.0,,0.0,,13730204.0,0.0,9401937.0,4328267.0,,295.42,0.89
37248,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55066,-122.31787,1904,1.0,4,72859,0,72859,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,72859.0,,0.0,,0.0,55.0,1498457.875,0.0,1455485.0,42973.0,,12.43,0.17
39332,SPS-District K-12,K-12 School,2,SOUTHEAST,47.52374,-122.27201,2009,1.0,2,138705,0,138705,K-12 School,K-12 School,138705.0,,0.0,,0.0,84.0,4959298.0,0.0,3004396.0,1954902.0,,124.77,0.9
40008,NonResidential,Mixed Use Property,2,GREATER DUWAMISH,47.5823,-122.32937,2004,1.0,3,21947,0,21947,"Office, Other, Parking",Other,14877.0,Office,12023.0,Parking,4920.0,,1554599.25,0.0,969591.0,585008.0,,37.83,1.72
40028,NonResidential,Warehouse,4,NORTHEAST,47.68454,-122.26235,1940,1.0,0,384772,0,384772,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,349953.0,Office,63872.0,,0.0,69.0,15206762.0,0.0,9014872.0,6191888.0,,391.7,1.02
40031,NonResidential,Medical Office,4,NORTHEAST,47.6824,-122.26223,1960,1.0,0,30287,0,30287,Medical Office,Medical Office,28050.0,,0.0,,0.0,32.0,2193115.0,0.0,1815405.0,377710.0,,32.72,1.08
40034,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.68254,-122.26299,1960,1.0,0,21931,0,21931,Office,Office,31845.0,Office,31845.0,,0.0,32.0,3947209.25,0.0,1398591.0,2548619.0,,145.11,6.62
40067,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60148,-122.33379,1985,1.0,6,73102,0,73102,"Office, Parking",Office,92723.0,Parking,18364.0,,0.0,84.0,4307238.5,0.0,4307238.0,0.0,,30.03,0.41
40348,NonResidential,Mixed Use Property,3,EAST,47.62256,-122.32092,1916,1.0,2,140823,59401,81422,"Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Parking,89820.0,Supermarket/Grocery Store,64000.0,Multifamily Housing,41014.0,,2762846.0,0.0,2554939.0,207907.0,,28.85,0.2
40447,Nonresidential COS,Mixed Use Property,2,GREATER DUWAMISH,47.57918,-122.32075,1966,5.0,1,87458,0,87458,"Data Center, Distribution Center, Office, Other",Office,41097.0,Distribution Center,39772.0,Other,6275.0,,8475238.0,0.0,3890327.0,4584911.0,,270.63,3.09
41928,NonResidential,Supermarket / Grocery Store,5,NORTH,47.71864,-122.312,2011,1.0,1,51400,0,51400,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,51841.0,Parking,0.0,,0.0,74.0,11702959.0,0.0,6889168.0,4813790.0,,303.69,5.91
42069,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.64779,-122.33352,1993,1.0,1,26263,0,26263,Office,Office,26263.0,,0.0,,0.0,64.0,1634669.375,0.0,1634669.0,0.0,,11.4,0.43
43948,Nonresidential COS,Other,2,GREATER DUWAMISH,47.54277,-122.31626,1906,1.0,2,39212,0,39212,Other,Other,39212.0,,0.0,,0.0,,72370.39844,0.0,72371.0,0.0,Low outlier,0.5,0.01
45287,Nonresidential COS,Other,3,CENTRAL,47.60668,-122.30242,1968,1.0,1,21400,0,21400,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",Other - Recreation,11737.0,Fitness Center/Health Club/Gym,9003.0,Swimming Pool,0.0,,5170809.5,0.0,2514599.0,2656210.0,,158.6,7.41
45927,NonResidential,Laboratory,3,EAST,47.60427,-122.32311,2000,1.0,8,178000,0,178000,Laboratory,Laboratory,181930.0,,0.0,,0.0,,53166156.0,31030194.0,22135959.0,0.0,,2549.47,14.32
48287,NonResidential,Large Office,2,GREATER DUWAMISH,47.5735,-122.32239,2005,1.0,4,162157,0,162157,"Office, Other - Services",Office,88698.0,Other - Services,72726.0,,0.0,,40613740.0,0.0,35110865.0,5502867.0,,537.03,3.31
49687,NonResidential,Supermarket / Grocery Store,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,2003,1.0,4,33997,0,33997,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,33997.0,Parking,30000.0,,0.0,23.0,8926736.0,0.0,8224625.0,702110.0,,94.63,2.78
49695,NonResidential,Large Office,7,LAKE UNION,47.62037,-122.33627,2012,1.0,11,526423,0,526423,"Office, Other, Parking",Office,400536.0,Parking,182439.0,Other,7177.0,97.0,17463744.0,0.0,16565434.0,898308.0,,163.19,0.31
49697,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60121,-122.33518,1902,1.0,6,74211,0,74211,"Multifamily Housing, Office, Parking",Office,33279.0,Multifamily Housing,29878.0,Parking,8421.0,97.0,1357119.875,0.0,1357120.0,0.0,,9.46,0.13
49699,NonResidential,Warehouse,2,SOUTHEAST,47.51098,-122.27817,1988,1.0,2,45700,0,45700,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,293707.0,,0.0,,0.0,99.0,1544193.75,0.0,1441594.0,102600.0,,15.5,0.34
49705,Nonresidential COS,Other,4,NORTHEAST,47.68212,-122.2633,1929,8.0,0,502030,0,502030,Other - Recreation,Other - Recreation,564258.0,,0.0,,0.0,,18470340.0,0.0,9359884.0,9110455.0,,549.11,1.09
49709,NonResidential,Other,5,NORTHWEST,47.71286,-122.33635,2012,1.0,2,53575,0,53575,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,53575.0,,0.0,,0.0,,31803568.0,0.0,23173477.0,8630089.0,,619.9,11.57
49712,NonResidential,Large Office,2,GREATER DUWAMISH,47.58995,-122.33472,2012,1.0,6,157345,0,157345,Office,Office,157345.0,,0.0,,0.0,63.0,11624548.0,0.0,11385578.0,238969.0,,92.07,0.59
49715,NonResidential,Residence Hall,4,NORTHEAST,47.65642,-122.31475,2012,1.0,5,136758,0,136758,Residence Hall/Dormitory,Residence Hall/Dormitory,207017.0,,0.0,,0.0,90.0,6275367.5,0.0,3420620.0,2854748.0,,175.46,1.28
49716,NonResidential,Residence Hall,4,NORTHEAST,47.65599,-122.31385,2012,1.0,7,192259,0,192259,"Residence Hall/Dormitory, Supermarket/Grocery Store",Residence Hall/Dormitory,188118.0,Supermarket/Grocery Store,7000.0,,0.0,72.0,8767617.0,0.0,5931729.0,2835888.0,,191.97,1.0
49718,Nonresidential COS,Other,1,GREATER DUWAMISH,47.53246,-122.33304,2012,2.0,2,137138,0,137138,Other - Utility,Other - Utility,138602.0,,0.0,,0.0,,5475367.0,0.0,5475366.0,0.0,,38.17,0.28
49725,NonResidential,Other,3,EAST,47.60989,-122.32659,2012,1.0,7,267470,0,267470,"Hospital (General Medical & Surgical), Other",Other,160482.0,Hospital (General Medical & Surgical),106988.0,,0.0,,42584028.0,18547858.0,23795911.0,0.0,,1597.56,5.97
49732,NonResidential,Hospital,4,NORTHEAST,47.66201,-122.28386,2013,1.0,8,330000,0,330000,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),241500.0,,0.0,,0.0,58.0,57764408.0,0.0,27703081.0,30061325.0,,1789.69,5.42
49737,NonResidential,Retail Store,7,MAGNOLIA / QUEEN ANNE,47.62503,-122.35642,1918,1.0,3,43832,0,43832,"Hotel, Parking, Retail Store",Retail Store,24588.0,Hotel,17558.0,Parking,1686.0,67.0,3886545.0,0.0,1343774.0,2542771.0,,144.41,3.29
49738,NonResidential,Other,1,SOUTHWEST,47.5596,-122.38459,1987,1.0,6,146363,0,146363,Strip Mall,Strip Mall,146363.0,,0.0,,0.0,,11730555.0,0.0,6438541.0,5292013.0,,325.94,2.23
49775,NonResidential,Supermarket / Grocery Store,1,SOUTHWEST,47.57984,-122.38577,2011,1.0,1,67263,0,67263,Supermarket/Grocery Store,Supermarket/Grocery Store,67263.0,,0.0,,0.0,78.0,14697487.0,0.0,9272449.0,5425036.0,,352.77,5.24
49776,NonResidential,Large Office,7,DOWNTOWN,47.61156,-122.34401,1988,1.0,13,354086,149326,204760,"Data Center, Multifamily Housing, Office, Other, Parking",Office,193393.0,Parking,149326.0,Multifamily Housing,38225.0,88.0,13458948.0,0.0,12288296.0,1170651.0,,147.84,0.42
49778,NonResidential,Worship Facility,4,NORTHEAST,47.6709,-122.27054,2008,1.0,2,70292,0,70292,Worship Facility,Worship Facility,70292.0,,0.0,,0.0,37.0,1933811.625,0.0,977731.0,956080.0,,57.59,0.82
49780,NonResidential,Other,7,DOWNTOWN,47.61449,-122.33956,1975,1.0,7,90679,35120,55559,"Data Center, Parking",Data Center,60000.0,Parking,30700.0,,0.0,100.0,41680640.0,0.0,41680634.0,0.0,,290.57,3.2
49783,NonResidential,Laboratory,7,LAKE UNION,47.62351,-122.34135,2013,1.0,8,339591,114010,225581,"Convenience Store without Gas Station, Laboratory, Parking",Laboratory,172793.0,Parking,139241.0,Convenience Store without Gas Station,294.0,,41696464.0,0.0,24410204.0,17286256.0,,1088.25,3.2
49784,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.61432,-122.31257,2013,1.0,6,52000,0,52000,Office,Office,48159.0,,0.0,,0.0,100.0,342726.0938,0.0,-115417.0,0.0,,-0.8,-0.02
49858,NonResidential,K-12 School,3,EAST,47.61386,-122.32647,2014,1.0,2,35780,0,35780,K-12 School,K-12 School,38000.0,,0.0,,0.0,22.0,2912264.0,0.0,2234214.0,678050.0,,51.59,1.44
49793,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.63449,-122.37661,2013,1.0,3,105061,28217,76844,"Office, Parking",Office,83533.0,Parking,28217.0,,0.0,100.0,1363191.625,0.0,1363192.0,0.0,,9.5,0.09
49797,NonResidential,Small- and Mid-Sized Office,3,DOWNTOWN,47.59666,-122.31253,2013,1.0,3,62662,14989,47673,Office,Office,47000.0,,0.0,,0.0,67.0,2502131.0,0.0,2444599.0,57532.0,,20.1,0.32
49802,NonResidential,Hotel,6,BALLARD,47.66629,-122.3826,2013,1.0,4,62381,22948,39433,"Hotel, Parking, Swimming Pool",Hotel,60245.0,Parking,26067.0,Swimming Pool,0.0,62.0,3497215.5,0.0,3497215.0,0.0,,24.38,0.39
49829,NonResidential,Senior Care Community,3,CENTRAL,47.61885,-122.30341,2013,1.0,6,79805,0,79805,"Parking, Senior Care Community",Senior Care Community,79805.0,Parking,7000.0,,0.0,25.0,7531325.0,0.0,4663661.0,2867663.0,,184.81,2.32
49850,NonResidential,K-12 School,5,NORTHWEST,47.73143,-122.32784,2014,1.0,2,48925,0,48925,K-12 School,K-12 School,63500.0,,0.0,,0.0,82.0,1662054.125,0.0,1384383.0,246907.0,,22.76,0.47
49862,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62082,-122.35251,1962,1.0,1,29000,0,29000,Other,Other,25100.0,,0.0,,0.0,,2429214.0,0.0,1604709.0,824505.0,,54.98,1.9
49865,NonResidential,Other,4,NORTHEAST,47.66246,-122.29898,2013,1.0,6,305025,239252,65773,"Lifestyle Center, Medical Office",Lifestyle Center,318986.0,Medical Office,19909.0,,0.0,,25959642.0,0.0,12331431.0,13628209.0,,809.76,2.65
49867,NonResidential,Large Office,2,GREATER DUWAMISH,47.58872,-122.33475,2014,1.0,7,333714,146687,187027,"Office, Parking",Office,191333.0,Parking,133432.0,,0.0,,4581493.0,0.0,4359095.0,222397.0,,42.2,0.13
49872,NonResidential,Other,2,GREATER DUWAMISH,47.5843,-122.32229,2014,1.0,2,56988,0,56988,"Automobile Dealership, Parking",Automobile Dealership,24520.0,Parking,0.0,,0.0,,544172.375,0.0,276732.0,267440.0,,16.13,0.28
49909,Campus,University,2,GREATER DUWAMISH,47.54193,-122.32404,2007,4.0,2,149856,0,149856,College/University,College/University,149856.0,,0.0,,0.0,,6335315.5,0.0,4967236.0,1368079.0,,107.29,0.72
49911,NonResidential,Other,1,DELRIDGE,47.51377011,-122.3432804,2010,1.0,2,44162,0,44162,"Parking, Pre-school/Daycare",Pre-school/Daycare,44162.0,Parking,15761.0,,0.0,,1546484.875,0.0,953635.0,592850.0,,38.13,0.86
49918,Nonresidential COS,Other,2,SOUTHEAST,47.52472,-122.27074,2013,1.0,1,53775,0,53775,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Technology/Science, Pre-school/Daycare, Swimming Pool",Other - Recreation,35361.0,Fitness Center/Health Club/Gym,12689.0,Office,2110.0,,12095818.0,0.0,4007401.0,8088416.0,,457.51,8.51
49924,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61438,-122.32174,1912,1.0,2,64820,0,64820,"Movie Theater, Office, Vocational School",Office,37668.0,Movie Theater,11500.0,Vocational School,10000.0,,2274296.75,0.0,1980767.0,293529.0,,29.4,0.45
49925,NonResidential,University,3,EAST,47.61699,-122.32083,1993,1.0,2,99765,0,99765,College/University,College/University,99765.0,,0.0,,0.0,,3185005.25,0.0,2055974.0,1129031.0,,74.3,0.74
49926,NonResidential,University,3,EAST,47.61748356,-122.321853,1925,1.0,3,428347,0,428347,College/University,College/University,472384.0,,0.0,,0.0,,37022180.0,13556219.0,21930618.0,1535341.0,,1280.81,2.99
49940,NonResidential,Hospital,3,EAST,47.60986,-122.32774,1920,1.0,8,374466,0,374466,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1010135.0,,0.0,,0.0,74.0,163945984.0,73885472.0,90060497.0,0.0,,6330.91,16.91
49945,NonResidential,Senior Care Community,7,DOWNTOWN,47.60898,-122.34213,1989,1.0,3,197395,156000,41395,"Office, Other - Public Services, Personal Services (Health/Beauty, Dry Cleaning, etc), Senior Care Community",Senior Care Community,38800.0,Other - Public Services,3650.0,Office,586.0,,2737534.5,0.0,1888063.0,849471.0,,58.28,0.3
